[TileMapPanelTest|INFO]: Painted Sprite Tiles - 0s.[2018/29/07-11:29]
[|INFO]: Painted Sprite Tiles (64,64)- 2s.[2018/36/07-11:36]
[|INFO]: Painted Sprite Tiles (64,64)- 2026ms.[2018/36/07-11:36]
[com.carvethsolutions.gridlib.TileMapPanelTest$1|INFO]: Painted Sprite Tiles (64,64)- 2076ms.[2018/37/07-11:37]
[com.carvethsolutions.gridlib.TileMapPanelTest$1|INFO]: Painted Sprite Tiles (64,64)- 2093ms.[2018/37/07-11:37]
[|INFO]: Painted Sprite Tiles (64,64)- 2185ms.[2018/38/07-11:38]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (64,64)- 2770ms.[2018/39/07-11:39]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (32,32) Gridscale(8)- 798ms.[2018/48/07-11:48]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (32,32) Gridscale(16)- 728ms.[2018/48/07-11:48]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (32,32) Gridscale(32)- 627ms.[2018/48/07-11:48]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (32,32) Gridscale(64)- 550ms.[2018/48/07-11:48]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (64,64) Gridscale(8)- 1952ms.[2018/48/07-11:48]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (64,64) Gridscale(16)- 1596ms.[2018/48/07-11:48]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (64,64) Gridscale(32)- 1605ms.[2018/48/07-11:48]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (64,64) Gridscale(64)- 1763ms.[2018/48/07-11:48]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (128,128) Gridscale(8)- 6063ms.[2018/48/07-11:48]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (128,128) Gridscale(16)- 5386ms.[2018/48/07-11:48]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (128,128) Gridscale(32)- 5285ms.[2018/48/07-11:48]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (128,128) Gridscale(64)- 6268ms.[2018/49/07-11:49]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (32,32) Gridscale(8)- 997ms.[2018/01/07-12:01]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (32,32) Gridscale(16)- 822ms.[2018/01/07-12:01]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (32,32) Gridscale(32)- 643ms.[2018/01/07-12:01]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (32,32) Gridscale(64)- 656ms.[2018/01/07-12:01]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (64,64) Gridscale(8)- 2232ms.[2018/01/07-12:01]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (64,64) Gridscale(16)- 1939ms.[2018/01/07-12:01]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (64,64) Gridscale(32)- 1563ms.[2018/01/07-12:01]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (64,64) Gridscale(64)- 1872ms.[2018/01/07-12:01]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (128,128) Gridscale(8)- 6752ms.[2018/01/07-12:01]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (128,128) Gridscale(16)- 6916ms.[2018/01/07-12:01]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (128,128) Gridscale(32)- 6683ms.[2018/02/07-12:02]
[com.carvethsolutions.gridlib.TileMapPanelTest|INFO]: Painted Sprite Tiles (128,128) Gridscale(64)- 6845ms.[2018/02/07-12:02]
